artist,availability,colorIdentity,colors,defense,edhrecRank,edhrecSaltiness,frameVersion,keywords,layout,life,loyalty,manaCost,manaValue,name,number,otherFaceIds,power,printings,rarity,setCode,subtypes,supertypes,toughness,types
Thomas M. Baxa,"mtgo, paper",B,B,,16285.0,0.05,2003,,normal,,,{2}{B},3.0,Vesper Ghoul,57,,1,"DIS, PSAL",common,DIS,"Zombie, Druid",,1,Creature
Kev Walker,"mtgo, paper",B,B,,14768.0,0.98,2003,,normal,,,{5}{B}{B},7.0,Wit's End,58,,,"DIS, M13",rare,DIS,,,,Sorcery
Shishizaru,"mtgo, paper",R,R,,22524.0,0.31,2003,Hellbent,normal,,,{3}{R},4.0,Cackling Flames,59,,,"DIS, GK2",common,DIS,,,,Instant
Fred Hooper,"mtgo, paper",R,R,,25084.0,0.23,2003,,normal,,,{3}{R},4.0,Flame-Kin War Scout,61,,2,DIS,uncommon,DIS,"Elemental, Scout",,4,Creature
Pete Venters,"mtgo, paper",R,R,,25491.0,,2003,,normal,,,{2}{R},3.0,Gnat Alley Creeper,63,,3,DIS,uncommon,DIS,"Human, Rogue",,1,Creature
Jeff Miracola,"mtgo, paper",R,R,,17318.0,0.29,2003,,normal,,,{1}{R},2.0,Ignorant Bliss,64,,,DIS,uncommon,DIS,,,,Instant
Alex Horley-Orlandelli,"mtgo, paper","B, R",R,,22310.0,,2003,,normal,,,{R},1.0,Kill-Suit Cultist,65,,1,DIS,common,DIS,"Goblin, Berserker",,1,Creature
Dany Orizio,"mtgo, paper",R,R,,18712.0,0.1,2003,,normal,,,{1}{R}{R},3.0,Kindle the Carnage,66,,,DIS,uncommon,DIS,,,,Sorcery
Daren Bader,"mtgo, paper",R,R,,24931.0,0.09,2003,,normal,,,{3}{R},4.0,Ogre Gatecrasher,67,,3,"DIS, FMB1",common,DIS,"Ogre, Rogue",,3,Creature
Kev Walker,"mtgo, paper",R,R,,4292.0,0.11,2003,,normal,,,{1}{R},2.0,Psychotic Fury,68,,,DIS,common,DIS,,,,Instant
Brian Hagan,"mtgo, paper",R,R,,21864.0,,2003,,normal,,,{3}{R},4.0,Sandstorm Eidolon,70,,2,DIS,common,DIS,Spirit,,2,Creature
Matt Cavotta,"mtgo, paper","B, R",R,,21906.0,,2003,Fear,normal,,,{1}{R},2.0,Squealing Devil,72,,2,DIS,uncommon,DIS,Devil,,1,Creature
Ralph Horsley,"mtgo, paper",R,R,,25303.0,0.13,2003,,normal,,,{2}{R}{R},4.0,Stormscale Anarch,74,,2,DIS,rare,DIS,"Viashino, Shaman",,2,Creature
Greg Hildebrandt,"mtgo, paper",R,R,,16378.0,0.04,2003,"Enchant, Hellbent",normal,,,{R},1.0,Taste for Mayhem,75,,,DIS,common,DIS,Aura,,,Enchantment
Christopher Rush,"mtgo, paper",R,R,,22177.0,,2003,Flying,normal,,,{1}{R},2.0,Utvara Scalper,76,,1,DIS,common,DIS,"Goblin, Scout",,2,Creature
Michael Sutfin,"mtgo, paper",R,R,,17857.0,0.18,2003,,normal,,,{R},1.0,Weight of Spires,78,,,DIS,uncommon,DIS,,,,Instant
Darrell Riche,"mtgo, paper",R,R,,25354.0,0.22,2003,,normal,,,{4}{R},5.0,Whiptail Moloch,79,,6,DIS,common,DIS,Lizard,,3,Creature
Thomas M. Baxa,"mtgo, paper",G,G,,12667.0,0.14,2003,Graft,normal,,,{2}{G}{G},4.0,Cytoplast Root-Kin,81,,0,"DIS, GK2, MM2",rare,DIS,"Elemental, Mutant",,0,Creature
Anthony S. Waters,"mtgo, paper",G,G,,18439.0,,2003,Graft,normal,,,{6}{G},7.0,Cytospawn Shambler,82,,0,DIS,common,DIS,"Elemental, Mutant",,0,Creature
Mark Tedin,"mtgo, paper",G,G,,13514.0,0.06,2003,Enchant,normal,,,{2}{G}{G},4.0,Elemental Resonance,83,,,DIS,rare,DIS,Aura,,,Enchantment
Dan Scott,"mtgo, paper",G,G,,15072.0,,2003,,normal,,,{2}{G}{G},4.0,Fertile Imagination,84,,,"DIS, PSAL",uncommon,DIS,,,,Sorcery
Ron Spears,"mtgo, paper",G,G,,16107.0,,2003,,normal,,,{2}{G},3.0,Flash Foliage,85,,,DIS,uncommon,DIS,,,,Instant
Paolo Parente,"mtgo, paper",G,G,,18120.0,0.08,2003,,normal,,,{1}{G},2.0,Might of the Nephilim,88,,,DIS,uncommon,DIS,,,,Instant
Luca Zontini,"mtgo, paper",G,G,,20250.0,0.15,2003,Graft,normal,,,{4}{G}{G},6.0,Simic Basilisk,91,,0,DIS,uncommon,DIS,"Basilisk, Mutant",,0,Creature
Dany Orizio,"mtgo, paper",G,G,,17106.0,,2003,Graft,normal,,,{G},1.0,Simic Initiate,92,,0,"DIS, MM2",common,DIS,"Human, Mutant",,0,Creature
Nick Percival,"mtgo, paper","G, U",G,,15120.0,0.31,2003,,normal,,,{3}{G},4.0,Simic Ragworm,93,,3,DIS,common,DIS,Worm,,3,Creature
Dan Scott,"mtgo, paper",G,G,,12446.0,0.2,2003,Graft,normal,,,{3}{G},4.0,Sporeback Troll,94,,0,DIS,common,DIS,"Troll, Mutant",,0,Creature
Heather Hudson,"mtgo, paper",G,G,,12605.0,0.1,2003,Defender,normal,,,{4}{G},5.0,Sprouting Phytohydra,95,,0,DIS,rare,DIS,"Plant, Hydra",,2,Creature
Carl Critchlow,"mtgo, paper",G,G,,20394.0,0.06,2003,,normal,,,{2}{G},3.0,Stomp and Howl,96,,,DIS,uncommon,DIS,,,,Sorcery
Kev Walker,"mtgo, paper",G,G,,22685.0,,2003,Enchant,normal,,,{G},1.0,Street Savvy,97,,,DIS,common,DIS,Aura,,,Enchantment
Tsutomu Kawade,"mtgo, paper",G,G,,17068.0,0.3,2003,,normal,,,{3}{G},4.0,Verdant Eidolon,100,,2,"DIS, UMA",common,DIS,Spirit,,2,Creature
Ralph Horsley,"mtgo, paper","B, R","B, R",,14149.0,0.21,2003,Hellbent,normal,,,{2}{B}{R}{R},5.0,Anthem of Rakdos,102,,,DIS,rare,DIS,,,,Enchantment
Jeremy Jarvis,"mtgo, paper","G, U","G, U",,22060.0,,2003,"Flying, Trample",normal,,,{2}{G}{U},4.0,Assault Zeppelid,103,,3,DIS,common,DIS,Beast,,3,Creature
Heather Hudson,"mtgo, paper","U, W","U, W",,15909.0,0.09,2003,,normal,,,{1}{W}{U},3.0,Azorius Aethermage,104,,1,DIS,uncommon,DIS,"Human, Wizard",,1,Creature
Alex Horley-Orlandelli,"mtgo, paper","U, W","U, W",,21211.0,0.16,2003,"Flying, Protection",normal,,,{W}{U},2.0,Azorius First-Wing,105,,2,DIS,common,DIS,Griffin,,2,Creature
Michael Sutfin,"mtgo, paper","U, W","U, W",,22011.0,0.24,2003,,normal,,,{1}{W}{W}{U},4.0,Azorius Ploy,106,,,DIS,uncommon,DIS,,,,Instant
Alan Pollack,"mtgo, paper","G, U","G, U",,18944.0,0.38,2003,,normal,,,{1}{G}{U},3.0,Cytoshape,108,,,DIS,rare,DIS,,,,Instant
Anthony S. Waters,"mtgo, paper","B, R","B, R",,24148.0,,2003,Trample,normal,,,{3}{B}{R},5.0,Dread Slag,109,,9,DIS,rare,DIS,Horror,,9,Creature
Michael Sutfin,"mtgo, paper","B, R","B, R",,23002.0,,2003,Hellbent,normal,,,{B}{R},2.0,Gobhobbler Rats,111,,2,DIS,common,DIS,Rat,,2,Creature
Kev Walker,"mtgo, paper","B, R","B, R",,19859.0,0.05,2003,Haste,normal,,,{2}{B}{R},4.0,Hellhole Rats,113,,2,DIS,uncommon,DIS,Rat,,2,Creature
Greg Staples,"mtgo, paper","U, W","U, W",,13552.0,0.1,2003,Flying,normal,,,{1}{W}{W}{U}{U},5.0,Isperia the Inscrutable,114,,3,"DIS, GK2",rare,DIS,Sphinx,Legendary,6,Creature
Jeff Miracola,"mtgo, paper","B, R","B, R",,14447.0,0.04,2003,Hellbent,normal,,,{1}{B}{R},3.0,Jagged Poppet,115,,3,"DIS, GK2",uncommon,DIS,"Ogre, Warrior",,4,Creature
Jim Nelson,"mtgo, paper","B, R","B, R",,12214.0,0.36,2003,,normal,,,{1}{B}{R},3.0,"Lyzolda, the Blood Witch",117,,3,"DIS, GK2",rare,DIS,"Human, Cleric",Legendary,1,Creature
Zoltan Boros & Gabor Szikszai,"mtgo, paper","G, U","G, U",,7482.0,0.44,2003,,normal,,,{3}{G}{U},5.0,"Momir Vig, Simic Visionary",118,,2,"DIS, GK2, V16",rare,DIS,"Elf, Wizard",Legendary,2,Creature
Jim Nelson,"mtgo, paper","G, U","G, U",,9298.0,0.55,2003,,normal,,,{1}{G}{G}{U},4.0,Omnibian,119,,3,"DIS, GK2",rare,DIS,Frog,,3,Creature
Aleksi Briclot,"mtgo, paper","B, R","B, R",,9378.0,,2003,,normal,,,{1}{B}{R},3.0,Pain Magnification,121,,,DIS,uncommon,DIS,,,,Enchantment
William Simpson,"mtgo, paper","U, W","U, W",,12729.0,0.06,2003,,normal,,,{3}{W}{U},5.0,Palliation Accord,122,,,DIS,uncommon,DIS,,,,Enchantment
Justin Sweet,"mtgo, paper","U, W","U, W",,19276.0,0.15,2003,"Enchant, Forecast",normal,,,{1}{W}{U},3.0,Plumes of Peace,124,,,"DIS, PSAL",common,DIS,Aura,,,Enchantment
Rebecca Guay,"mtgo, paper","U, W","U, W",,9039.0,0.25,2003,"Flying, Forecast",normal,,,{W}{U},2.0,Pride of the Clouds,125,,1,"DIS, GK2",rare,DIS,"Elemental, Cat",,1,Creature
Fred Hooper,"mtgo, paper","B, R","B, R",,13481.0,0.36,2003,,normal,,,{B}{R},2.0,Rain of Gore,126,,,DIS,rare,DIS,,,,Enchantment
Zoltan Boros & Gabor Szikszai,"mtgo, paper","B, R","B, R",,20568.0,0.11,2003,First strike,normal,,,{B}{B}{R},3.0,Rakdos Augermage,127,,3,DIS,rare,DIS,"Human, Wizard",,2,Creature
Christopher Rush,"mtgo, paper","B, R","B, R",,13019.0,0.23,2003,,normal,,,{1}{B}{R},3.0,Rakdos Ickspitter,128,,1,DIS,common,DIS,Thrull,,1,Creature
Zoltan Boros & Gabor Szikszai,"mtgo, paper","B, R","B, R",,10426.0,0.6,2003,"Flying, Trample",normal,,,{2}{B}{B}{R}{R},6.0,Rakdos the Defiler,129,,7,"DIS, GK2",rare,DIS,Demon,Legendary,6,Creature
Kev Walker,"mtgo, paper","U, W","U, W",,15348.0,0.29,2003,"Flying, Forecast",normal,,,{3}{W}{U},5.0,Sky Hussar,131,,4,"DIS, GK2, PLIST",uncommon,DIS,"Human, Knight",,3,Creature
Greg Staples,"mtgo, paper","U, W","U, W",,18978.0,0.32,2003,,normal,,,{2}{W}{U}{U},5.0,Swift Silence,132,,,DIS,rare,DIS,,,,Instant
Christopher Rush,"mtgo, paper","B, R","B, R",,23027.0,,2003,Hellbent,normal,,,{3}{B}{R},5.0,Twinstrike,134,,,DIS,uncommon,DIS,,,,Instant
Anthony S. Waters,"mtgo, paper","G, U","G, U",,18499.0,,2003,Graft,normal,,,{1}{G}{U},3.0,Vigean Hydropon,135,,0,DIS,common,DIS,"Plant, Mutant",,0,Creature
Alex Horley-Orlandelli,"mtgo, paper","G, U","G, U",,23389.0,0.04,2003,,normal,,,{3}{G}{U},5.0,Vigean Intuition,136,,,DIS,uncommon,DIS,,,,Instant
Jim Murray,"mtgo, paper","G, U","G, U",,4190.0,0.29,2003,,normal,,,{G}{U}{U},3.0,Voidslime,137,,,"DIS, GK2, PCMP, PRM, SLD",rare,DIS,,,,Instant
Shishizaru,"mtgo, paper","U, W","U, W",,8887.0,1.27,2003,,normal,,,{3}{W/U}{W/U}{W/U},6.0,Dovescape,143,,,"DIS, GK2, SLD",rare,DIS,,,,Enchantment
Brian Hagan,"mtgo, paper","U, W","U, W",,12602.0,0.06,2003,,normal,,,{2}{W/U},3.0,Minister of Impediments,144,,1,DIS,common,DIS,"Human, Advisor",,1,Creature
Christopher Moeller,"mtgo, paper","B, R","B, R",,22913.0,0.14,2003,Enchant,normal,,,{B/R},1.0,Riot Spikes,146,,,"DIS, GK2",common,DIS,Aura,,,Enchantment
Aleksi Briclot,"mtgo, paper","G, U","G, U",,15167.0,0.07,2003,,normal,,,{G/U}{G/U},2.0,Simic Guildmage,148,,2,DIS,uncommon,DIS,"Elf, Wizard",,2,Creature
Jim Nelson,"mtgo, paper","B, G, U","B, G",,17406.0,,2003,,split,,,{3}{B}{G},7.0,Bound // Determined,149,eca14704-9044-5e15-bb68-01a433f65bad,,DIS,rare,DIS,,,,Instant
Randy Gallegos,"mtgo, paper","B, G, W","W, B",,19367.0,,2003,,split,,,{3}{W}{B},7.0,Crime // Punishment,150,64d4699a-aaa8-5503-8f5c-dfb312ed4f37,,DIS,rare,DIS,,,,Sorcery
Zoltan Boros,"mtgo, paper","B, R, W","W, R",,13189.0,0.17,2003,,split,,,{R}{W},4.0,Hide // Seek,151,64a5acc6-f96a-5178-bfe9-97c791a7e6d9,,DIS,rare,DIS,,,,Instant
Darrell Riche,"mtgo, paper","B, G, R","B, R",,19555.0,0.07,2003,,split,,,{1}{B}{R},8.0,Hit // Run,152,ae71a824-bd09-5c14-b60e-9279b2578d9b,,DIS,uncommon,DIS,,,,Instant
Michael Sutfin,"mtgo, paper","R, U, W","U, R",,19494.0,0.31,2003,,split,,,{U}{R},7.0,Odds // Ends,153,a3edef48-0c50-56cb-a287-01b4bf7e3897,,"DIS, PLIST",rare,DIS,,,,Instant
Paolo Parente,"mtgo, paper","G, R, W","R, G",,19375.0,0.33,2003,,split,,,{1}{R}{G},6.0,Pure // Simple,154,66069159-702f-52e9-8d94-d71f193d52a6,,DIS,uncommon,DIS,,,,Sorcery
Greg Staples,"mtgo, paper","G, R, U","U, G",,22960.0,0.06,2003,,split,,,{G}{U},7.0,Research // Development,155,b5160299-e1b9-52e4-b52e-ed53bf996067,,DIS,rare,DIS,,,,Instant
Daren Bader,"mtgo, paper","G, U, W","W, G",,12894.0,0.1,2003,,split,,,{X}{G}{W},5.0,Supply // Demand,157,59ac62e1-c8cc-5d49-a691-2d4d65ad8832,,"DIS, PSAL",uncommon,DIS,,,,Sorcery
Martina Pilcerova,"mtgo, paper",,,,8734.0,0.5,2003,,normal,,,{4},4.0,Bronze Bombshell,160,,4,DIS,rare,DIS,Construct,,1,"Artifact, Creature"
John Avon,"mtgo, paper","G, U",,,17692.0,0.06,2003,,normal,,,{3},3.0,Evolution Vat,161,,,DIS,rare,DIS,,,,Artifact
Carl Critchlow,"mtgo, paper",,,,2142.0,0.2,2003,,normal,,,{2},2.0,Magewright's Stone,162,,,"DIS, FMB1",uncommon,DIS,,,,Artifact
Christopher Rush,"mtgo, paper",,,,20050.0,0.17,2003,,normal,,,{4},4.0,Muse Vessel,163,,,DIS,rare,DIS,,,,Artifact
Jim Nelson,"mtgo, paper","B, R",,,17911.0,0.26,2003,Equip,normal,,,{2},2.0,Rakdos Riteknife,164,,,"DIS, PLIST",rare,DIS,Equipment,,,Artifact
Martina Pilcerova,"mtgo, paper",,,,20501.0,,2003,,normal,,,{4},4.0,Skullmead Cauldron,167,,,DIS,uncommon,DIS,,,,Artifact
John Avon,"mtgo, paper","B, G, R, U, W","B, G, R, U, W",,11813.0,,2003,,normal,,,{4},4.0,Transguild Courier,168,,3,"DIS, DMC",uncommon,DIS,Golem,,3,"Artifact, Creature"
Heather Hudson,"mtgo, paper","U, W",,,8327.0,,2003,Defender,normal,,,{3},3.0,Walking Archive,169,,1,"DIS, PLIST",rare,DIS,Golem,,1,"Artifact, Creature"
Rob Alexander,"mtgo, paper","B, R",,,76.0,0.09,2003,,normal,,,,0.0,Blood Crypt,171,,,"DIS, EXP, PLIST, PRM, PRNA, RNA, RTR, SLD, UNF",rare,DIS,"Swamp, Mountain",,,Land
Rob Alexander,"mtgo, paper","G, U",,,73.0,0.13,2003,,normal,,,,0.0,Breeding Pool,172,,,"DIS, EXP, GTC, PRM, PRNA, RNA, SLD, UNF",rare,DIS,"Forest, Island",,,Land
Rob Alexander,"mtgo, paper","U, W",,,71.0,0.1,2003,,normal,,,,0.0,Hallowed Fountain,174,,,"DIS, EXP, PRM, PRNA, RNA, RTR, RVR, SLD, UNF",rare,DIS,"Plains, Island",,,Land
Martina Pilcerova,"mtgo, paper","U, W",,,11841.0,0.1,2003,,normal,,,,0.0,"Prahv, Spires of Order",177,,,DIS,uncommon,DIS,,,,Land
Volkan BaÇµa,"mtgo, paper",W,W,,13633.0,0.05,2003,,normal,,,{7}{W},8.0,Archangel's Light,1,,,DKA,mythic,DKA,,,,Sorcery
Ryan Pancoast,"mtgo, paper",W,W,,6213.0,,2003,,normal,,,{2}{W},3.0,Bar the Door,2,,,DKA,common,DKA,,,,Instant
Karl Kopinski,"mtgo, paper",W,W,,21590.0,0.35,2003,Fateful hour,normal,,,{1}{W},2.0,Break of Day,3,,,DKA,common,DKA,,,,Instant
John Stanko,"mtgo, paper",W,W,,19188.0,,2003,Enchant,normal,,,{W},1.0,Burden of Guilt,4,,,DKA,common,DKA,Aura,,,Enchantment
Slawomir Maniak,"mtgo, paper",W,W,,6525.0,1.14,2003,Enchant,normal,,,{2}{W}{W},4.0,Curse of Exhaustion,5,,,DKA,uncommon,DKA,"Aura, Curse",,,Enchantment
Slawomir Maniak,"mtgo, paper",W,W,,20832.0,,2003,Lifelink,normal,,,{3}{W},4.0,Elgaud Inquisitor,6,,2,DKA,common,DKA,"Human, Cleric",,2,Creature
Svetlin Velinov,"mtgo, paper",W,W,,9967.0,0.24,2003,Fateful hour,normal,,,{W},1.0,Faith's Shield,7,,,DKA,uncommon,DKA,,,,Instant
Karl Kopinski,"mtgo, paper",W,W,,24077.0,0.1,2003,Fateful hour,normal,,,{2}{W},3.0,Gavony Ironwright,9,,1,DKA,uncommon,DKA,"Human, Soldier",,4,Creature
Ryan Pancoast,"mtgo, paper","B, W",W,,24163.0,,2003,"Transform, Vigilance",transform,,,{W}{W},2.0,Loyal Cathar // Unhallowed Cathar,13,3cf1fc99-a10e-5190-a253-18c416e921cc,2,DKA,common,DKA,"Human, Soldier",,2,Creature
Igor Kieryluk,"mtgo, paper",W,W,,21510.0,,2003,Flying,normal,,,{2}{W},3.0,Niblis of the Mist,15,,2,DKA,common,DKA,Spirit,,1,Creature
Igor Kieryluk,"mtgo, paper",W,W,,12227.0,0.11,2003,Flying,normal,,,{1}{W},2.0,Niblis of the Urn,16,,1,DKA,uncommon,DKA,Spirit,,1,Creature
Cliff Childs,"mtgo, paper","G, W",W,,15901.0,0.05,2003,Flashback,normal,,,{1}{W},2.0,Ray of Revelation,17,,,"DKA, HA5, JUD, WC02, WC03",common,DKA,,,,Instant
David Rapoza,"mtgo, paper",W,W,,12776.0,0.29,2003,,normal,,,{2}{W}{W},4.0,SÃ©ance,20,,,"DKA, MM3, SIS",rare,DKA,,,,Enchantment
Daniel Ljunggren,"mtgo, paper",W,W,,19437.0,,2003,"First strike, Flying",normal,,,{3}{W}{W},5.0,Silverclaw Griffin,21,,3,DKA,common,DKA,Griffin,,2,Creature
Jason Felix,"mtgo, paper",W,W,,24210.0,0.05,2003,,normal,,,{1}{W},2.0,Skillful Lunge,22,,,DKA,common,DKA,,,,Instant
Cliff Childs,"mtgo, paper",W,W,,14342.0,0.27,2003,,normal,,,{5}{W},6.0,Sudden Disappearance,23,,,DKA,rare,DKA,,,,Sorcery
Tomasz Jedruszek,"mtgo, paper",U,U,,4241.0,0.13,2003,Flashback,normal,,,{U},1.0,Artful Dodge,27,,,DKA,common,DKA,,,,Sorcery
Eric Deschamps,"mtgo, paper",U,U,,8172.0,0.47,2003,,normal,,,{3}{U}{U},5.0,Beguiler of Wills,28,,1,DKA,mythic,DKA,"Human, Wizard",,1,Creature
Clint Cearley,"mtgo, paper",U,U,,10925.0,0.53,2003,,normal,,,{2}{U}{U},4.0,Bone to Ash,29,,,"DKA, M19, M20, ORI",common,DKA,,,,Instant
Jason A. Engle,"mtgo, paper",U,U,,6501.0,0.17,2003,Enchant,normal,,,{3}{U},4.0,Call to the Kindred,30,,,DKA,rare,DKA,Aura,,,Enchantment
Nils Hamm,"mtgo, paper",U,U,,21336.0,0.16,2003,Enchant,normal,,,{2}{U},3.0,Chant of the Skifsang,31,,,DKA,common,DKA,Aura,,,Enchantment
Terese Nielsen,"mtgo, paper",U,U,,15943.0,0.29,2003,"Flashback, Mill",normal,,,{2}{U},3.0,Chill of Foreboding,32,,,DKA,uncommon,DKA,,,,Sorcery
Austin Hsu,"mtgo, paper",U,U,,12574.0,0.31,2003,,normal,,,{4}{U}{U},6.0,Counterlash,33,,,"DKA, PLIST",rare,DKA,,,,Instant
Slawomir Maniak,"mtgo, paper",U,U,,6236.0,0.52,2003,Enchant,normal,,,{4}{U},5.0,Curse of Echoes,34,,,"DKA, PLIST",rare,DKA,"Aura, Curse",,,Enchantment
Steven Belledin,"mtgo, paper",U,U,,10182.0,0.14,2003,"Mill, Undying",normal,,,{4}{U}{U},6.0,Geralf's Mindcrusher,37,,5,"DKA, SCD",rare,DKA,"Zombie, Horror",,5,Creature
Johann Bodin,"mtgo, paper",U,U,,21233.0,,2003,,normal,,,{2}{U},3.0,Headless Skaab,40,,3,DKA,common,DKA,"Zombie, Warrior",,6,Creature
Dan Scott,"mtgo, paper",U,U,,7415.0,0.37,2003,"Flashback, Mill",normal,,,{X}{U},1.0,Increasing Confusion,41,,,DKA,rare,DKA,,,,Sorcery
Wayne England,"mtgo, paper",U,U,,23828.0,,2003,"Flash, Flying",normal,,,{3}{U},4.0,Nephalia Seakite,43,,2,"DKA, M14",common,DKA,Bird,,3,Creature
Igor Kieryluk,"mtgo, paper",U,U,,11484.0,0.08,2003,Flying,normal,,,{2}{U},3.0,Niblis of the Breath,44,,2,DKA,uncommon,DKA,Spirit,,1,Creature
Matt Stewart,"mtgo, paper","U, W",U,,15409.0,0.1,2003,Flashback,normal,,,{U},1.0,Saving Grasp,46,,,DKA,common,DKA,,,,Instant
Raymond Swanland,"mtgo, paper",U,U,,17241.0,0.15,2003,"Flying, Mill",normal,,,{1}{U},2.0,Shriekgeist,49,,1,"DKA, IMA",common,DKA,Spirit,,1,Creature
Lucas Graciano,"mtgo, paper",U,U,,16133.0,,2003,"Flying, Transform",transform,,,{3}{U}{U},5.0,Soul Seizer // Ghastly Haunting,50,6950f8fc-b5a6-53e5-9cfa-3555e1edfaa1,1,DKA,uncommon,DKA,Spirit,,3,Creature
Dan Scott,"mtgo, paper",U,U,,18195.0,0.3,2003,"Flying, Undying",normal,,,{1}{U}{U},3.0,Stormbound Geist,51,,2,DKA,common,DKA,Spirit,,2,Creature
David Palumbo,"mtgo, paper",B,B,,12084.0,0.12,2003,,normal,,,{1}{B},2.0,Black Cat,54,,1,"DKA, J22, JMP, M15, MB1",common,DKA,"Zombie, Cat",,1,Creature
Steve Argyle,"mtgo, paper",B,B,,18699.0,,2003,Transform,transform,,,{2}{B},3.0,Chosen of Markov // Markov's Servant,55,28d7d7f0-b651-55bf-b4b9-7b9a4a48d863,2,DKA,common,DKA,Human,,2,Creature
Terese Nielsen,"mtgo, paper",B,B,,5448.0,0.53,2003,Enchant,normal,,,{4}{B},5.0,Curse of Misfortunes,56,,,DKA,rare,DKA,"Aura, Curse",,,Enchantment
Christopher Moeller,"mtgo, paper",B,B,,6147.0,0.25,2003,Enchant,normal,,,{4}{B},5.0,Curse of Thirst,57,,,"DKA, PRM, PW12",uncommon,DKA,"Aura, Curse",,,Enchantment
Steve Argyle,"mtgo, paper","B, G",B,,14769.0,0.35,2003,Flashback,normal,,,{B},1.0,Deadly Allure,58,,,DKA,uncommon,DKA,,,,Sorcery
James Ryman,"mtgo, paper",B,B,,23102.0,0.1,2003,,normal,,,{3}{B}{B},5.0,Death's Caress,59,,,DKA,common,DKA,,,,Sorcery
Steve Argyle,"mtgo, paper",B,B,,19825.0,,2003,,normal,,,{2}{B},3.0,Falkenrath Torturer,60,,2,DKA,common,DKA,Vampire,,1,Creature
Kev Walker,"mtgo, paper",B,B,,5217.0,0.19,2003,Undying,normal,,,{B}{B}{B},3.0,Geralf's Messenger,63,,3,"DKA, PLIST, SLD",rare,DKA,Zombie,,2,Creature
Zoltan Boros,"mtgo, paper",B,B,,4465.0,0.08,2003,,normal,,,{2}{B},3.0,Gravepurge,65,,,"DKA, DTK, MB1",common,DKA,,,,Instant
John Stanko,"mtgo, paper",B,B,,21615.0,0.11,2003,Morbid,normal,,,{2}{B}{B},4.0,Gruesome Discovery,66,,,DKA,common,DKA,,,,Sorcery
James Paick,"mtgo, paper",B,B,,17920.0,0.15,2003,,normal,,,{4}{B},5.0,Harrowing Journey,67,,,DKA,uncommon,DKA,,,,Sorcery
Volkan BaÇµa,"mtgo, paper",B,B,,18779.0,0.09,2003,Intimidate,normal,,,{B}{B},2.0,Highborn Ghoul,68,,2,DKA,common,DKA,Zombie,,1,Creature
Volkan BaÇµa,"mtgo, paper",B,B,,6528.0,0.28,2003,Flashback,normal,,,{4}{B},5.0,Increasing Ambition,69,,,"DKA, SIS",rare,DKA,,,,Sorcery
Igor Kieryluk,"mtgo, paper",B,B,,17979.0,,2003,Transform,transform,,,{3}{B}{B},5.0,Ravenous Demon // Archdemon of Greed,71,d0aa4bb6-bff1-51ba-b9ae-fb5c35239b3b,4,"DKA, PDKA, PRM",rare,DKA,Demon,,4,Creature
James Ryman,"mtgo, paper","B, U",B,,22128.0,0.07,2003,Flashback,normal,,,{2}{B},3.0,Reap the Seagraf,72,,,DKA,common,DKA,,,,Sorcery
Svetlin Velinov,"mtgo, paper",B,B,,12291.0,,2003,Undying,normal,,,{3}{B},4.0,Sightless Ghoul,73,,2,DKA,common,DKA,"Zombie, Soldier",,2,Creature
Austin Hsu,"mtgo, paper",B,B,,16518.0,0.07,2003,,normal,,,{1}{B},2.0,Skirsdag Flayer,74,,1,DKA,uncommon,DKA,"Human, Cleric",,1,Creature
John Stanko,"mtgo, paper",B,B,,18164.0,0.33,2003,Enchant,normal,,,{1}{B},2.0,Spiteful Shadows,75,,,DKA,common,DKA,Aura,,,Enchantment
Kev Walker,"mtgo, paper",B,B,,3572.0,0.12,2003,,normal,,,{B},1.0,Undying Evil,77,,,DKA,common,DKA,,,,Instant
Lucas Graciano,"mtgo, paper",B,B,,20650.0,0.05,2003,"Flying, Undying",normal,,,{4}{B}{B},6.0,Vengeful Vampire,78,,3,DKA,uncommon,DKA,Vampire,,2,Creature
Peter Mohrbacher,"mtgo, paper",B,B,,1939.0,0.25,2003,,normal,,,{3}{B}{B}{B},6.0,Zombie Apocalypse,80,,,"DKA, MIC, PDKA, PLIST, PRM, SCD",rare,DKA,,,,Sorcery
David Palumbo,"mtgo, paper",R,R,,8277.0,,2003,Transform,transform,,,{3}{R},4.0,Afflicted Deserter // Werewolf Ransacker,81,f40dda4a-0d51-5a68-b310-21b8b0ec5b37,3,DKA,uncommon,DKA,"Human, Werewolf",,2,Creature
Randy Gallegos,"mtgo, paper",R,R,,13150.0,0.04,2003,,normal,,,{6}{R}{R},8.0,Alpha Brawl,82,,,DKA,rare,DKA,,,,Sorcery
Trevor Claxton,"mtgo, paper","R, W",R,,22898.0,,2003,Flashback,normal,,,{1}{R},2.0,Burning Oil,84,,,DKA,uncommon,DKA,,,,Instant
Michael C. Hayes,"mtgo, paper",R,R,,4570.0,0.67,2003,Enchant,normal,,,{3}{R}{R},5.0,Curse of Bloodletting,85,,,DKA,rare,DKA,"Aura, Curse",,,Enchantment
Kev Walker,"mtgo, paper",R,R,,19039.0,,2003,Haste,normal,,,{1}{R}{R},3.0,Erdwal Ripper,86,,2,DKA,common,DKA,Vampire,,1,Creature
Jason Chan,"mtgo, paper","B, R",R,,24363.0,0.24,2003,Flashback,normal,,,{2}{R},3.0,Fires of Undeath,88,,,DKA,common,DKA,,,,Instant
